time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,z_ref
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.008,0.0,0.0,0.50024256,0.0,0.0,0.03031999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.016,-5.941496405530123e-32,-8.391571043113846e-28,0.5007276791685371,-7.426870506912654e-30,-1.0489463803892308e-25,0.060639896067140125,9.947776297682557e-27,-7.0433386862019965e-31,-3.5871348565341807e-13,1.2434720372103196e-24,-8.804173380055005e-29,-4.4839185706677256e-11,1.0
0.024,6.230099857448178e-26,8.799183774360068e-22,0.501455355557632,7.787632248680728e-24,1.099899020741389e-19,0.09095954863685668,-1.04309803032986e-20,7.385463176562669e-25,-2.149960042826158e-12,-1.303873781384362e-18,9.231837891654443e-23,-2.239058196465925e-10,1.0
0.032,1.780756660264725e-25,2.581100886646268e-21,0.5024255861028168,1.447183343149884e-23,2.1264781365128263e-19,0.12127881814810557,-3.053828140262641e-20,2.1067936638028914e-24,-7.157971119424428e-12,-2.513412637415976e-18,1.7103093109173533e-22,-6.260013845747839e-10,1.0
0.04,2.7726903996493954e-25,4.17256299829056e-21,0.5036383666231843,1.239917174230838e-23,1.989327639555365e-19,0.15159756504593203,-4.917115807219823e-20,3.266491400800891e-24,-1.7872592812869014e-11,-2.329109583696474e-18,1.4496227050328053e-22,-1.339327711680573e-09,1.0
0.048,4.338883616415755e-25,6.548970977637511e-21,0.5050936918214566,1.95774152095795e-23,2.9705099741836894e-19,0.18191564978403998,-7.682939876616274e-20,4.9879464461314e-24,-3.7484387374279855e-11,-3.4572800867455516e-18,2.1518203510987826e-22,-2.451474320176355e-09,1.0
0.056,6.267585145749212e-25,9.601742436342945e-21,0.5067915552840755,2.410876911666821e-23,3.8159643233817924e-19,0.21223293282736108,-1.1206840374810095e-19,7.110754472342991e-24,-6.987963503586214e-11,-4.404875622742255e-18,2.653513857383924e-22,-4.049405957697786e-09,1.0
0.064,8.504802225145473e-25,1.3297061968635457e-20,0.5087319494813125,2.796521349245327e-23,4.619149415365638e-19,0.24254927465462345,-1.542868685412922e-19,9.558829617862679e-24,-1.196352370138149e-10,-5.277308099148854e-18,3.0601022148164283e-22,-6.219450247244093e-09,1.0
0.07200000000000001,1.1047298284000219e-24,1.7606922271587245e-20,0.5109148657673999,3.178120073568432e-23,5.387325378689736e-19,0.27286453576091974,-2.0291258657030576e-19,1.241481452322527e-23,-1.920135218744914e-10,-6.078214753626595e-18,3.5699972901306864e-22,-9.047285607584561e-09,1.0
0.08,1.3763655550639517e-24,2.2572500651322257e-20,0.5133402943806821,3.395446583299123e-23,6.206972974668765e-19,0.3031785766602747,-2.5815705462970584e-19,1.5205431676507963e-23,-2.929569563958841e-10,-6.905558507424842e-18,3.488300530324073e-22,-1.2617929315174087e-08,1.0
0.088,1.5924964824355095e-24,2.729203037569505e-20,0.5160082244437878,2.7016365921444726e-23,5.899412155465989e-19,0.3334912578882121,-3.0901570800542335e-19,1.6849893399000062e-23,-4.2908276234773697e-10,-6.3573316719644205e-18,2.0556254073960176e-22,-1.701572574398161e-08,1.0
0.096,1.7747402876970303e-24,3.1743831286818983e-20,0.5189186439638224,2.2780475657690087e-23,5.564751138904918e-19,0.3638024400043206,-3.5494251856230293e-19,1.7996750640514278e-23,-6.076774408285294e-10,-5.740851319609556e-18,1.433645664021517e-22,-2.232433481009906e-08,1.0
0.10400000000000001,1.9328408341627095e-24,3.603536006626346e-20,0.5220715398325809,1.9762568308209882e-23,5.364410974305598e-19,0.39411198359481897,-3.969500842250132e-19,1.8754981184758162e-23,-8.366912056388677e-10,-5.2509457078382565e-18,9.478958014021657e-23,-2.8626720601292284e-08,1.0
0.112,2.066605420658849e-24,4.013902135822258e-20,0.5254668978267819,1.6720573312017476e-23,5.129576614948896e-19,0.4244197492751201,-4.344723471066625e-19,1.9117981377384297e-23,-1.1247323273109644e-09,-4.690282860205488e-18,4.5389991818873284e-23,-3.6005140209012085e-08,1.0
0.12,2.18078704909969e-24,4.409286412753293e-20,0.5291047026083211,1.4272703555105137e-23,4.942303461637941e-19,0.4547255976923941,-4.6774676336646835e-19,1.914002405237274e-23,-1.4810613890319026e-09,-4.159302032474891e-18,2.775427304124241e-24,-4.4541132715117284e-08,1.0
0.128,2.29944941348543e-24,4.7115821373337395e-20,0.5329849377245461,1.4832795548217512e-23,3.7786965572555807e-19,0.48502938952813,-4.873247744693136e-19,1.8302964701027213e-23,-1.9155854562123504e-09,-2.447251387854643e-18,-1.0460648132012405e-22,-5.4315508397555996e-08,1.0
0.136,2.357469603936175e-24,4.929451470228274e-20,0.5371075856085517,7.252523806343109e-24,2.7233666611816806e-19,0.5153309855006961,-4.941223491820884e-19,1.6642862811753156e-23,-2.43885216121848e-09,-8.496968390956994e-19,-2.0748063874659902e-22,-6.540833812576618e-08,1.0
0.14400000000000002,2.4246551809843587e-24,5.152201517323382e-20,0.5414726275794949,8.398197131022955e-24,2.7843755886888534e-19,0.5456302463678991,-4.986882143046425e-19,1.4996675849827115e-23,-3.062043704626917e-09,-5.707331403180269e-19,-2.057347007940445e-22,-7.789894292605465e-08,1.0
0.152,2.5664729770862276e-24,5.469151519896882e-20,0.5460800438429312,1.7727224512733602e-23,3.9618750321687467e-19,0.5759270329295417,-5.115848469132542e-19,1.4149802041279115e-23,-3.7969707748012874e-09,-1.612079076075131e-18,-1.0581282125468998e-22,-9.186588377179626e-08,1.0
0.16,2.720526084517739e-24,5.793996028183475e-20,0.550929813491171,1.9256638428938892e-23,4.060556353582409e-19,0.6062212060299785,-5.225075520953833e-19,1.3367387835073432e-23,-4.656066386982405e-09,-1.365338147764663e-18,-9.77462517605494e-23,-1.0738695152263966e-07,1.0
0.168,2.9543822315413463e-24,6.216077722470418e-20,0.5560219145036563,2.9232018377950934e-23,5.276021178586776e-19,0.6365126265606701,-5.419850483722399e-19,1.345479890949585e-23,-5.6523796438962386e-09,-2.4346870346054116e-18,1.0992669808411099e-23,-1.2453915711422926e-07,1.0
0.176,3.149867190593161e-24,6.724346501299562e-20,0.5613563237473582,2.4435619881476826e-23,6.353359735364305e-19,0.6668011554627354,-5.685971774834584e-19,1.3010606160259482e-23,-6.799569418978229e-09,-3.3265161389004248e-18,-5.544446561867821e-23,-1.4339872188524874e-07,1.0
0.184,3.3069774108339493e-24,7.145609174910171e-20,0.5669330169771942,1.9638777530098525e-23,5.26578342013262e-19,0.6970866537295025,-5.816623940309185e-19,1.2037394330592986e-23,-8.111897964050642e-09,-1.6331520684304459e-18,-1.2155713380394065e-22,-1.6404106813405155e-07,1.0
0.192,3.5698164943769954e-24,7.664082562144781e-20,0.5727519688364667,3.285488544288072e-23,6.480917340432628e-19,0.7273689824090567,-6.029437071459155e-19,1.2248803640879978e-23,-9.604224442980847e-09,-2.660164139372362e-18,2.6536652476617116e-23,-1.8654080986627573e-07,1.0
0.2,3.705710895198103e-24,8.099302941110745e-20,0.578813152857321,1.6986800102638505e-23,5.440254737074555e-19,0.7576480026067871,-6.109272400729963e-19,1.0885561762912924e-23,-1.1291998392690351e-08,-9.979416158826657e-19,-1.7027718851069255e-22,-2.1097174371368798e-07,1.0
0.20800000000000002,3.808791773484299e-24,8.54713333020297e-20,0.5851165414612245,1.2885109785774495e-23,5.59787986365281e-19,0.7879235754879308,-6.169318450948426e-19,9.071190561051329e-24,-1.3191253113397519e-08,-7.505756277284177e-19,-2.2665064915995774e-22,-2.3740684008839597e-07,1.0
0.216,3.960912343323748e-24,9.090261775951814e-20,0.5916621059594654,1.9015071229931108e-23,6.78910557186055e-19,0.8181955622801146,-6.307250213595402e-19,7.786171133766131e-24,-1.5318598989369966e-08,-1.724147033084966e-18,-1.6046154105505716e-22,-2.6591823449655585e-07,1.0
0.224,4.06052442910579e-24,9.55460847865832e-20,0.5984498165536726,1.2451510722755225e-23,5.804333783831336e-19,0.8484638242758944,-6.31593105097602e-19,5.8342572038492104e-24,-1.769121674182729e-08,-1.085104672557161e-19,-2.4380205383986e-22,-2.965772190571657e-07,1.0
0.232,4.2765496869270884e-24,1.0129365596841935e-19,0.6054703323061782,2.700315722766231e-23,7.184463977295185e-19,0.8775644690632043,-6.420288384714088e-19,5.229291115426419e-24,-2.0326850615625114e-08,-1.304466671724016e-18,-7.541096098179388e-23,-3.2945423422472735e-07,1.0
0.24,4.397359543002307e-24,1.0631651416586791e-19,0.6127032935104899,1.5101232009402276e-23,6.278572746810696e-19,0.9041201505389689,-6.404493162105685e-19,3.467505858334438e-24,-2.3243003971090775e-08,1.974402826065989e-19,-2.19989413200617e-22,-3.645191694332082e-07,1.0
0.248,4.540839085938481e-24,1.1155066622806907e-19,0.6201286711287158,1.7934942867021752e-23,6.542690077751444e-19,0.9281722022782449,-6.381116935730414e-19,1.956366731276358e-24,-2.645588574710214e-08,2.9220282969198144e-19,-1.886356492967693e-22,-4.0161022200142033e-07,1.0
0.256,4.524617855969722e-24,1.168582740846538e-19,0.6277274474175552,-2.0276537460948584e-24,6.634509820730904e-19,0.94984703610491,-6.335385404210858e-19,-1.4578864821857414e-24,-2.9980287596260985e-08,5.716441439945757e-19,-4.265015387805016e-22,-4.4055023114485497e-07,1.0
0.264,4.594195294829941e-24,1.2311834572228893e-19,0.6354816151668422,8.697179857527368e-24,7.825089547043925e-19,0.9692709686608773,-6.373043377812843e-19,-3.849023536521649e-24,-3.3829543034256735e-08,-4.707246700260851e-19,-2.9858639436325354e-22,-4.811569297494688e-07,1.0
0.272,4.6423216184849246e-24,1.295168277068893e-19,0.6433741351170591,6.015790456872982e-24,7.99810248075047e-19,0.9865649937771104,-6.398733097201172e-19,-6.47787878629427e-24,-3.801550928359122e-08,-3.2112149235682084e-19,-3.282727673136495e-22,-5.232457811668095e-07,1.0
0.28,4.7422326964328134e-24,1.359859174635625e-19,0.6513888924485034,1.2488884743486088e-23,8.086362195841479e-19,1.00184466643054,-6.405492653593957e-19,-8.465812640940703e-24,-4.25485653582618e-08,-8.449445491403046e-20,-2.4812896762254724e-22,-5.666320093338224e-07,1.0
0.28800000000000003,4.753363111815615e-24,1.4252513248612412e-19,0.6595106548951302,1.3913019228501722e-24,8.174018778202043e-19,1.0152203058283444,-6.394424751391852e-19,-1.147223607281197e-23,-4.743762372233098e-08,1.3834877752021729e-19,-3.754118068386067e-22,-6.11132295508647e-07,1.0
0.296,4.777669455447174e-24,1.4913409480234341e-19,0.667725032582705,3.038292953944873e-24,8.261202895274115e-19,1.0267972109468542,-6.36660446111885e-19,-1.4278213821495436e-23,-5.269015335809587e-08,3.477536284040608e-19,-3.503282955596735e-22,-6.565662044706106e-07,1.0
0.304,4.6333959941415695e-24,1.5493256944032003e-19,0.676018439535826,-1.803418266320059e-23,7.248093297470771e-19,1.0366758691401212,-6.218834709748475e-19,-1.902913214267335e-23,-5.831221233942021e-08,1.8471218921179957e-18,-5.934225646389604e-22,-7.02757372665543e-07,1.0
0.312,4.5714893068342584e-24,1.6167583000283654e-19,0.6843780567904542,-7.738335913413876e-24,8.429075703145634e-19,1.044952156828518,-6.160693482040368e-19,-2.2736331514562523e-23,-6.430848822891748e-08,7.267653463356896e-19,-4.629359773210228e-22,-7.49534486187157e-07,1.0
